year,origin_name,destination_name,industry,export_share,export_share_ind
2007,Afghanistan,Rep. of Korea,Agri_Food,3.0121514053025592e-05,0.00018764100543954145
2007,Afghanistan,Rep. of Korea,Chemical,3.0121514053025592e-05,1.6221769563116956e-05
2007,Afghanistan,Rep. of Korea,Textiles,3.0121514053025592e-05,7.846576810997226e-05
2007,Afghanistan,Rep. of Korea,Machinery/Elec. Equip,3.0121514053025592e-05,5.969397898652553e-05
2007,Albania,Rep. of Korea,Agri_Food,0.0002945383488620144,6.931886630654834e-05
2007,Albania,Rep. of Korea,Raw Hide,0.0002945383488620144,4.178682508296989e-05
2007,Albania,Rep. of Korea,Textiles,0.0002945383488620144,0.003018287039721674
2007,Albania,Rep. of Korea,Footwears,0.0002945383488620144,0.0003374633256790606
2007,Albania,Rep. of Korea,Base metal,0.0002945383488620144,0.0016607628532762477
2007,Albania,Rep. of Korea,Optical/Photo. Instr.,0.0002945383488620144,4.8324238703204006e-05
2007,Algeria,Rep. of Korea,Mineral products,0.16840739083996803,0.7012205750204374
2007,Algeria,Rep. of Korea,Chemical,0.16840739083996803,0.0033083163658163173
2007,Algeria,Rep. of Korea,Plastic/Rubbers,0.16840739083996803,0.0007220453833800558
2007,Algeria,Rep. of Korea,Base metal,0.16840739083996803,0.0024220967123957196
2007,Algeria,Rep. of Korea,Machinery/Elec. Equip,0.16840739083996803,9.496934455155979e-05
2007,Algeria,Rep. of Korea,Vehicle,0.16840739083996803,0.002073279727484335
2007,American Samoa,Rep. of Korea,Agri_Food,0.0018096629200470753,0.00043637417113026833
2007,American Samoa,Rep. of Korea,Mineral products,0.0018096629200470753,0.007058525747999681
2007,American Samoa,Rep. of Korea,Chemical,0.0018096629200470753,3.777528021031132e-05
2007,American Samoa,Rep. of Korea,Textiles,0.0018096629200470753,1.2006410743321955e-05
2007,American Samoa,Rep. of Korea,Footwears,0.0018096629200470753,0.002161394882205355
2007,American Samoa,Rep. of Korea,Base metal,0.0018096629200470753,0.00033732376858782657
2007,American Samoa,Rep. of Korea,Optical/Photo. Instr.,0.0018096629200470753,6.502717842444551e-06
2007,Andorra,Rep. of Korea,Chemical,0.00014325243588734894,3.21534293498988e-05
2007,Andorra,Rep. of Korea,Plastic/Rubbers,0.00014325243588734894,4.8403746437303396e-05
2007,Andorra,Rep. of Korea,Wood Products,0.00014325243588734894,1.4118337163661236e-05
2007,Andorra,Rep. of Korea,Textiles,0.00014325243588734894,0.0006345418198319176
2007,Andorra,Rep. of Korea,Base metal,0.00014325243588734894,4.678540201361087e-05
