year,origin_name,destination_name,industry,export_share,export_share_ind
2007,Mexico,Algeria,Agri_Food,0.06249845952944263,0.6179477564503599
2007,Mexico,Algeria,Chemical,0.06249845952944263,0.041346597629520865
2007,Mexico,Algeria,Plastic/Rubbers,0.06249845952944263,0.042082061061671644
2007,Mexico,Algeria,Wood Products,0.06249845952944263,0.001008052478618827
2007,Mexico,Algeria,Textiles,0.06249845952944263,0.0005865140928999832
2007,Mexico,Algeria,Footwears,0.06249845952944263,0.0005925863787965131
2007,Mexico,Algeria,Base metal,0.06249845952944263,0.288662827527971
2007,Mexico,Algeria,Machinery/Elec. Equip,0.06249845952944263,0.007488329403264126
2007,Mexico,Algeria,Vehicle,0.06249845952944263,0.017940366539077855
2007,Mexico,Algeria,Optical/Photo. Instr.,0.06249845952944263,0.0045117081690605135
2007,Mexico,Algeria,Other,0.06249845952944263,0.0009793832562899917
2007,Mexico,Andorra,Agri_Food,0.00018756672548755375,0.0017859401253031188
2007,Mexico,Andorra,Chemical,0.00018756672548755375,0.0007918015435074831
2007,Mexico,Andorra,Plastic/Rubbers,0.00018756672548755375,0.0006767786517888637
2007,Mexico,Andorra,Textiles,0.00018756672548755375,0.0006406763649555163
2007,Mexico,Andorra,Machinery/Elec. Equip,0.00018756672548755375,2.6522500317191903e-05
2007,Mexico,Andorra,Vehicle,0.00018756672548755375,7.938751200403763e-05
2007,Mexico,Andorra,Optical/Photo. Instr.,0.00018756672548755375,1.759169192214887e-05
2007,Mexico,Azerbaijan,Agri_Food,0.0003405408324253903,0.0005266765871153475
2007,Mexico,Azerbaijan,Chemical,0.0003405408324253903,5.9351590272774976e-05
2007,Mexico,Azerbaijan,Plastic/Rubbers,0.0003405408324253903,3.77454706923997e-05
2007,Mexico,Azerbaijan,Textiles,0.0003405408324253903,0.0010821056335442157
2007,Mexico,Azerbaijan,Footwears,0.0003405408324253903,0.0009448075317717466
2007,Mexico,Azerbaijan,Machinery/Elec. Equip,0.0003405408324253903,0.0006998321528983908
2007,Mexico,Argentina,Agri_Food,0.487574857027022,0.06863794387650503
2007,Mexico,Argentina,Mineral products,0.487574857027022,0.019743610726496573
2007,Mexico,Argentina,Chemical,0.487574857027022,2.3114368418954783
2007,Mexico,Argentina,Plastic/Rubbers,0.487574857027022,0.4394019042590621
2007,Mexico,Argentina,Raw Hide,0.487574857027022,0.0008815647153818338
2007,Mexico,Argentina,Wood Products,0.487574857027022,0.22328883505101893
2007,Mexico,Argentina,Textiles,0.487574857027022,0.12398804740677558
2007,Mexico,Argentina,Footwears,0.487574857027022,0.11115200906415418
2007,Mexico,Argentina,Base metal,0.487574857027022,0.3439040987563759
2007,Mexico,Argentina,Machinery/Elec. Equip,0.487574857027022,0.7868407617330055
2007,Mexico,Argentina,Vehicle,0.487574857027022,0.5153238888279318
2007,Mexico,Argentina,Optical/Photo. Instr.,0.487574857027022,0.17169491316017305
2007,Mexico,Argentina,Other,0.487574857027022,0.08330491914679719
2007,Mexico,Australia,Agri_Food,0.367954183601325,0.524812558547408
2007,Mexico,Australia,Mineral products,0.367954183601325,2.232484273631333e-05
2007,Mexico,Australia,Chemical,0.367954183601325,0.5953221694168246
2007,Mexico,Australia,Plastic/Rubbers,0.367954183601325,0.29422008800910027
2007,Mexico,Australia,Raw Hide,0.367954183601325,0.19966226425423492
2007,Mexico,Australia,Wood Products,0.367954183601325,0.19972466316950177
2007,Mexico,Australia,Textiles,0.367954183601325,0.29485698203133104
2007,Mexico,Australia,Footwears,0.367954183601325,0.056272286141373015
2007,Mexico,Australia,Base metal,0.367954183601325,0.4418759952193271
2007,Mexico,Australia,Machinery/Elec. Equip,0.367954183601325,0.5066463693895583
2007,Mexico,Australia,Vehicle,0.367954183601325,0.31989896708280824
2007,Mexico,Australia,Optical/Photo. Instr.,0.367954183601325,0.8763746337215017
2007,Mexico,Australia,Other,0.367954183601325,0.16905533527537858
2007,Mexico,Austria,Agri_Food,0.08534342861906234,0.054188202156552144
2007,Mexico,Austria,Mineral products,0.08534342861906234,0.0033122548423992586
2007,Mexico,Austria,Chemical,0.08534342861906234,0.07483308910191776
2007,Mexico,Austria,Plastic/Rubbers,0.08534342861906234,0.041865297389501656
2007,Mexico,Austria,Raw Hide,0.08534342861906234,0.007744336950388288
2007,Mexico,Austria,Wood Products,0.08534342861906234,0.023940471292680895
2007,Mexico,Austria,Textiles,0.08534342861906234,0.018212764480560605
2007,Mexico,Austria,Footwears,0.08534342861906234,0.015615692842632298
2007,Mexico,Austria,Base metal,0.08534342861906234,0.04909432652374069
2007,Mexico,Austria,Machinery/Elec. Equip,0.08534342861906234,0.07932872430278498
2007,Mexico,Austria,Vehicle,0.08534342861906234,0.1949394693906874
2007,Mexico,Austria,Optical/Photo. Instr.,0.08534342861906234,0.2855021896859095
2007,Mexico,Austria,Other,0.08534342861906234,0.034038981416404344
2007,Mexico,Armenia,Agri_Food,0.00042826726985477164,0.0010488530535464537
2007,Mexico,Armenia,Chemical,0.00042826726985477164,0.005329498623676384
2007,Mexico,Armenia,Plastic/Rubbers,0.00042826726985477164,0.0006273623399676046
2007,Mexico,Armenia,Wood Products,0.00042826726985477164,8.423251384956441e-05
2007,Mexico,Armenia,Textiles,0.00042826726985477164,0.00029888028045721665
2007,Mexico,Armenia,Base metal,0.00042826726985477164,0.00031868556215127895
2007,Mexico,Armenia,Machinery/Elec. Equip,0.00042826726985477164,0.0004379491848410336
2007,Mexico,Armenia,Vehicle,0.00042826726985477164,1.148370652867169e-05
2007,Mexico,Armenia,Optical/Photo. Instr.,0.00042826726985477164,0.0005657775413776123
